 Mass  Metallicity         Ba34         Ba35         Ba36         Ba37         Ba38         Ba39         Ba40
 2.50       0.0140   1.78090E-08  6.57220E-09  4.61490E-08  3.58370E-08  2.73020E-07  0.00000E+00  0.00000E+00
 2.50       0.0200   9.72800E-09  3.45380E-09  2.30080E-08  1.73180E-08  1.28080E-07  0.00000E+00  0.00000E+00
 3.00       0.0003   6.68350E-10  2.09540E-10  2.19280E-09  4.75840E-09  3.48250E-08  0.00000E+00  0.00000E+00
 3.00       0.0001   6.68350E-10  2.09540E-10  2.19280E-09  4.75840E-09  3.48250E-08  0.00000E+00  0.00000E+00
 3.00       0.0010   6.68350E-10  2.09540E-10  2.19280E-09  4.75840E-09  3.48250E-08  0.00000E+00  0.00000E+00
 3.00       0.0030   3.01420E-09  9.70300E-10  9.98440E-09  1.25200E-08  1.64900E-07  0.00000E+00  0.00000E+00
 3.00       0.0060   1.04090E-08  3.50460E-09  3.40900E-08  3.08010E-08  4.10310E-07  0.00000E+00  0.00000E+00
 3.00       0.0080   1.45330E-08  5.01710E-09  4.68450E-08  4.00620E-08  4.20710E-07  0.00000E+00  0.00000E+00
 3.00       0.0100   1.85800E-08  6.64270E-09  5.62130E-08  4.56640E-08  4.04100E-07  0.00000E+00  0.00000E+00
 3.00       0.0140   1.50470E-08  5.45350E-09  4.14120E-08  3.19800E-08  2.39050E-07  0.00000E+00  0.00000E+00
 3.00       0.0200   9.57180E-09  3.41550E-09  2.36240E-08  1.76460E-08  1.28130E-07  0.00000E+00  0.00000E+00
